ID;Sous-thematique;Phrase FR;Trad ewe L1;Trad ewe L2;Arbitrage;Statut
SP-EAU-001;Eau et electricite;L'eau potable protège la santé.;;;;A traduire
SP-EAU-002;Eau et electricite;Faites bouillir l'eau avant de boire.;;;;A traduire
SP-EAU-003;Eau et electricite;L'eau du forage est contrôlée.;;;;A traduire
SP-EAU-004;Eau et electricite;Fermez bien les robinets.;;;;A traduire
SP-EAU-005;Eau et electricite;Ne gaspillez pas l'eau.;;;;A traduire
SP-EAU-006;Eau et electricite;Les coupures d'eau sont annoncées.;;;;A traduire
SP-EAU-007;Eau et electricite;Payez votre facture d'eau à temps.;;;;A traduire
SP-EAU-008;Eau et electricite;La consommation d'électricité se lit sur le compteur.;;;;A traduire
SP-EAU-009;Eau et electricite;Éteignez les lampes en quittant la pièce.;;;;A traduire
SP-EAU-010;Eau et electricite;Débranchez les appareils inutiles.;;;;A traduire
SP-EAU-011;Eau et electricite;Les branchements électriques doivent être sécurisés.;;;;A traduire
SP-EAU-012;Eau et electricite;Ne touchez pas aux fils électriques.;;;;A traduire
SP-EAU-013;Eau et electricite;En cas de panne appelez la compagnie.;;;;A traduire
SP-EAU-014;Eau et electricite;Le prépaiement facilite la gestion.;;;;A traduire
SP-EAU-015;Eau et electricite;Chargez votre compteur à temps.;;;;A traduire
SP-EAU-016;Eau et electricite;L'énergie solaire se développe.;;;;A traduire
SP-EAU-017;Eau et electricite;Les panneaux solaires éclairent les villages.;;;;A traduire
SP-EAU-018;Eau et electricite;L'électricité améliore la vie.;;;;A traduire
SP-EAU-019;Eau et electricite;L'eau et l'électricité sont des services essentiels.;;;;A traduire
SP-EAU-020;Eau et electricite;Protégez les installations publiques.;;;;A traduire
SP-SAN-001;Sante publique;Le centre de santé est ouvert à tous.;;;;A traduire
SP-SAN-002;Sante publique;La consultation coûte peu au centre.;;;;A traduire
SP-SAN-003;Sante publique;Les médicaments essentiels sont disponibles.;;;;A traduire
SP-SAN-004;Sante publique;La vaccination est gratuite.;;;;A traduire
SP-SAN-005;Sante publique;Le dépistage du VIH est confidentiel.;;;;A traduire
SP-SAN-006;Sante publique;La tuberculose se soigne gratuitement.;;;;A traduire
SP-SAN-007;Sante publique;Les campagnes de santé informent la population.;;;;A traduire
SP-SAN-008;Sante publique;L'hygiène prévient les maladies.;;;;A traduire
SP-SAN-009;Sante publique;Les latrines protègent la communauté.;;;;A traduire
SP-SAN-010;Sante publique;L'assainissement est l'affaire de tous.;;;;A traduire
SP-SAN-011;Sante publique;Les déchets doivent être triés.;;;;A traduire
SP-SAN-012;Sante publique;Ne brûlez pas les déchets plastiques.;;;;A traduire
SP-SAN-013;Sante publique;Les ordures se déposent aux points de collecte.;;;;A traduire
SP-SAN-014;Sante publique;Une commune propre est une commune en santé.;;;;A traduire
SP-SAN-015;Sante publique;La santé publique commence chez chacun.;;;;A traduire
SP-TRA-001;Transport;Les transports en commun desservent la ville.;;;;A traduire
SP-TRA-002;Transport;Les taxis-motos sont pratiques.;;;;A traduire
SP-TRA-003;Transport;Portez le casque à moto.;;;;A traduire
SP-TRA-004;Transport;Respectez le code de la route.;;;;A traduire
SP-TRA-005;Transport;La gare routière organise les départs.;;;;A traduire
SP-TRA-006;Transport;Les billets s'achètent au guichet.;;;;A traduire
SP-TRA-007;Transport;Les horaires sont affichés.;;;;A traduire
SP-TRA-008;Transport;Les routes se réhabilitent.;;;;A traduire
SP-TRA-009;Transport;Voyagez avec des compagnies sérieuses.;;;;A traduire
