ID;Sous-thematique;Phrase FR;Trad ewe L1;Trad ewe L2;Arbitrage;Statut
PAL-SYM-001;Symptomes;L'enfant a de la fièvre depuis hier soir.;;;;A traduire
PAL-SYM-002;Symptomes;As-tu pris la température de ton enfant ?;;;;A traduire
PAL-SYM-003;Symptomes;Mon enfant a très chaud au toucher.;;;;A traduire
PAL-SYM-004;Symptomes;J'ai des frissons depuis deux jours.;;;;A traduire
PAL-SYM-005;Symptomes;L'enfant transpire beaucoup pendant la nuit.;;;;A traduire
PAL-SYM-006;Symptomes;As-tu des maux de tête ?;;;;A traduire
PAL-SYM-007;Symptomes;J'ai mal à la tête et je suis fatigué.;;;;A traduire
PAL-SYM-008;Symptomes;L'enfant refuse de manger.;;;;A traduire
PAL-SYM-009;Symptomes;Mon enfant vomit tout ce qu'il boit.;;;;A traduire
PAL-SYM-010;Symptomes;As-tu des courbatures ?;;;;A traduire
PAL-SYM-011;Symptomes;Je me sens faible depuis ce matin.;;;;A traduire
PAL-SYM-012;Symptomes;L'enfant a des selles liquides.;;;;A traduire
PAL-SYM-013;Symptomes;La fièvre ne tombe pas malgré les médicaments.;;;;A traduire
PAL-SYM-014;Symptomes;Depuis quand l'enfant a-t-il ces signes ?;;;;A traduire
PAL-SYM-015;Symptomes;L'enfant dort plus que d'habitude.;;;;A traduire
PAL-SYM-016;Symptomes;As-tu remarqué d'autres symptômes ?;;;;A traduire
PAL-SYM-017;Symptomes;J'ai mal au ventre en plus de la fièvre.;;;;A traduire
PAL-SYM-018;Symptomes;L'enfant a les yeux jaunes.;;;;A traduire
PAL-SYM-019;Symptomes;La fièvre est revenue après quelques jours.;;;;A traduire
PAL-SYM-020;Symptomes;Est-ce que les autres enfants de la maison sont malades ?;;;;A traduire
PAL-PRE-001;Prevention;Dors sous une moustiquaire imprégnée toutes les nuits.;;;;A traduire
PAL-PRE-002;Prevention;La moustiquaire protège toute la famille du paludisme.;;;;A traduire
PAL-PRE-003;Prevention;Accroche la moustiquaire au-dessus du lit.;;;;A traduire
PAL-PRE-004;Prevention;Vérifie que la moustiquaire n'a pas de trous.;;;;A traduire
PAL-PRE-005;Prevention;Répare les trous de la moustiquaire rapidement.;;;;A traduire
PAL-PRE-006;Prevention;Le paludisme se transmet par la piqûre du moustique.;;;;A traduire
PAL-PRE-007;Prevention;Élimine les eaux stagnantes autour de la maison.;;;;A traduire
PAL-PRE-008;Prevention;Couvre les réservoirs d'eau proprement.;;;;A traduire
PAL-PRE-009;Prevention;Les moustiques piquent surtout la nuit.;;;;A traduire
PAL-PRE-010;Prevention;Utilise un répulsif contre les moustiques.;;;;A traduire
PAL-PRE-011;Prevention;Porte des vêtements longs le soir.;;;;A traduire
PAL-PRE-012;Prevention;Le traitement préventif protège la femme enceinte.;;;;A traduire
PAL-PRE-013;Prevention;La femme enceinte doit prendre ses comprimés chaque mois.;;;;A traduire
PAL-PRE-014;Prevention;Nettoie la cour pour éviter les moustiques.;;;;A traduire
PAL-PRE-015;Prevention;Le paludisme peut être évité.;;;;A traduire
