ID;Sous-thematique;Phrase FR;Trad ewe L1;Trad ewe L2;Arbitrage;Statut
EXA-PRE-001;Preparation;Prépare-toi sérieusement pour l'examen.;;;;A traduire
EXA-PRE-002;Preparation;Révise tes leçons chaque jour.;;;;A traduire
EXA-PRE-003;Preparation;Fais des exercices d'entraînement.;;;;A traduire
EXA-PRE-004;Preparation;Les anciens sujets aident à s'entraîner.;;;;A traduire
EXA-PRE-005;Preparation;Organise ton temps de révision.;;;;A traduire
EXA-PRE-006;Preparation;Révise les matières principales d'abord.;;;;A traduire
EXA-PRE-007;Preparation;Fais des pauses pendant les révisions.;;;;A traduire
EXA-PRE-008;Preparation;Dors bien la veille de l'examen.;;;;A traduire
EXA-PRE-009;Preparation;Mange bien le matin de l'examen.;;;;A traduire
EXA-PRE-010;Preparation;Prépare tes affaires la veille.;;;;A traduire
EXA-PRE-011;Preparation;Arrive à l'heure au centre d'examen.;;;;A traduire
EXA-PRE-012;Preparation;Apporte ta convocation et ta pièce d'identité.;;;;A traduire
EXA-PRE-013;Preparation;Vérifie le lieu de ton examen.;;;;A traduire
EXA-PRE-014;Preparation;Révise avec des camarades sérieux.;;;;A traduire
EXA-PRE-015;Preparation;Ne copie pas pendant les révisions.;;;;A traduire
EXA-PRE-016;Preparation;Comprends plutôt que d'apprendre par cœur.;;;;A traduire
EXA-PRE-017;Preparation;Fais des fiches de révision.;;;;A traduire
EXA-PRE-018;Preparation;Relis tes cours chaque soir.;;;;A traduire
EXA-PRE-019;Preparation;Le calme avant l'examen est important.;;;;A traduire
EXA-PRE-020;Preparation;Confiance et travail mènent au succès.;;;;A traduire
EXA-JOU-001;Le jour de l'examen;Écoute bien les consignes avant de commencer.;;;;A traduire
EXA-JOU-002;Le jour de l'examen;Lis toutes les questions avant de répondre.;;;;A traduire
EXA-JOU-003;Le jour de l'examen;Commence par les questions faciles.;;;;A traduire
EXA-JOU-004;Le jour de l'examen;Gère bien ton temps.;;;;A traduire
EXA-JOU-005;Le jour de l'examen;Écris lisiblement.;;;;A traduire
EXA-JOU-006;Le jour de l'examen;Relis ta copie avant de rendre.;;;;A traduire
EXA-JOU-007;Le jour de l'examen;Reste calme pendant l'épreuve.;;;;A traduire
EXA-JOU-008;Le jour de l'examen;Si tu bloques passe à la question suivante.;;;;A traduire
EXA-JOU-009;Le jour de l'examen;Ne regarde pas la copie du voisin.;;;;A traduire
EXA-JOU-010;Le jour de l'examen;La tricherie est punie.;;;;A traduire
EXA-JOU-011;Le jour de l'examen;Le surveillant est là pour aider.;;;;A traduire
EXA-JOU-012;Le jour de l'examen;Lève la main si tu as une question.;;;;A traduire
EXA-JOU-013;Le jour de l'examen;Ne rends pas ta copie trop tôt.;;;;A traduire
EXA-JOU-014;Le jour de l'examen;Vérifie que ton nom est sur la copie.;;;;A traduire
EXA-JOU-015;Le jour de l'examen;Utilise un stylo bleu ou noir.;;;;A traduire
EXA-JOU-016;Le jour de l'examen;Ne parle pas pendant l'épreuve.;;;;A traduire
EXA-JOU-017;Le jour de l'examen;Garde ta convocation sur la table.;;;;A traduire
EXA-JOU-018;Le jour de l'examen;L'épreuve dure trois heures.;;;;A traduire
EXA-JOU-019;Le jour de l'examen;Donne le meilleur de toi-même.;;;;A traduire
EXA-JOU-020;Le jour de l'examen;L'examen n'est qu'une étape.;;;;A traduire
EXA-RES-001;Resultats;Les résultats sont affichés au centre.;;;;A traduire
EXA-RES-002;Resultats;Les résultats sont publiés en juillet.;;;;A traduire
EXA-RES-003;Resultats;Félicitations tu as réussi.;;;;A traduire
EXA-RES-004;Resultats;Tu es admis avec mention.;;;;A traduire
EXA-RES-005;Resultats;Ne sois pas découragé si tu échoues.;;;;A traduire
EXA-RES-006;Resultats;Tu peux repasser l'examen l'an prochain.;;;;A traduire
EXA-RES-007;Resultats;Le rattrapage est possible en septembre.;;;;A traduire
EXA-RES-008;Resultats;Vérifie ton numéro sur la liste.;;;;A traduire
EXA-RES-009;Resultats;Les résultats sont aussi en ligne.;;;;A traduire
EXA-RES-010;Resultats;La délibération est publique.;;;;A traduire
EXA-RES-011;Resultats;Ton diplôme sera disponible plus tard.;;;;A traduire
EXA-RES-012;Resultats;Informe ta famille du résultat.;;;;A traduire
EXA-RES-013;Resultats;Célèbre ta réussite avec les tiens.;;;;A traduire
EXA-RES-014;Resultats;Chaque résultat est un point de départ.;;;;A traduire
EXA-RES-015;Resultats;Continue tes études avec courage.;;;;A traduire
