livre	chapitre	verset	fr	ewe
1CH	17	2	Nathan répondit à David: Fais tout ce que tu as dans le cœur, car Dieu est avec toi.	Tete Natan gblo na Dawid bena: Nusianu, si le dzi me na wo la, woe, elabena Mawu li kpli wo
1CH	14	8	Les Philistins apprirent que David avait été oint pour roi sur tout Israël, et ils montèrent tous à sa recherche. David, qui en fut informé, sortit au-devant d’eux.	Esi Filistitowo se be, wosi ami na Dawid hedo fia de Israel blibo la dzi la, Filistitowo kata ho, be yewoadi Dawid. Eye esiDawid see la, eho yi wo kpe ge
1CH	4	40	Ils trouvèrent de gras et bons pâturages, et un pays vaste, tranquille et paisible, car ceux qui l’habitaient auparavant descendaient de Cham.	Eye wokpo lànyife dama nyuia de; anyigba la keke le goawo katá me, eye 'enu fa boko; elabena Ham-viwo no afi- ma tsà
1CH	4	16	Fils de Jehalléleel: Ziph, Zipha, Thirja et Asareel.	Yehalelel viwo nye: Zif, Zita, Tirya kple Asareel
1CH	10	6	Ainsi périrent Saül et ses trois fils, et toute sa maison périt en même temps.	Ale Saul kple via etóawo kpakple efe afe blibo la woku zi deka
1CH	8	11	Il eut de Huschim: Abithub et Elpaal.	Husim dzi Abitub kple Elpaal ne
1CH	1	37	Fils de Reuel: Nahath, Zérach, Schamma et Mizza.	Reguel viwo nye: Na- hat, Zerah, Sama kple Miza
1CH	4	3	Voici les descendants du père d’Étham: Jizreel, Jischma et Jidbasch; le nom de leur sœur était Hatselelponi.	Etam viwo nye: Yezreel, Yisma, Yidbas; wo novinyonu nko nye Hazlelponi; 4 emegbe Ge- dor fofo Penuel kple Husa fofo Ezer. Amesiawo nye Betlehem fofo Hur, amesi nye Efrata fe/ngo- gbea, fe viwo
1CH	5	20	Ils reçurent du secours contre eux, et les Hagaréniens et tous ceux qui étaient avec eux furent livrés entre leurs mains. Car, pendant le combat, ils avaient crié à Dieu, qui les exauça, parce qu’ils s’étaient confiés en lui.	Ma- wu Kpe de wo nu, ale be Hagri- towo kple amesiwo kata Kpe de wo nu la, ge de wo si me; elabena wodo 211 yo Mawu le awa la me, eye wódo to wo, le esi wodo nu de enu ta
1CH	13	11	David fut irrité de ce que l’Éternel avait frappé Uzza d’un tel châtiment. Et ce lieu a été appelé jusqu’à ce jour Pérets-Uzza.	Eye wóve Dawid be, Yehowa de Uza da, eye wona nko tefe ma be: Perez-Usa, vasede egbe
1CH	12	33	De Zabulon, cinquante mille, en état d’aller à l’armée, munis pour le combat de toutes les armes de guerre, et prêts à livrer bataille d’un cœur résolu.	Amesiwo tso Zebulon-viwo dome; va awakoa me, eye wotso aWawo- nu vovovowo bla akpae la, wole ame akpe blaató, wofo fu de du, eye dzi deka li na wo
1CH	3	23	Fils de Nearia: Éljoénaï, Ézéchias et Azrikam, trois.	Nearya viwo nye: Elyoenai, Hizkiya, Azrikam; wole wo ame eto
1CH	13	14	L’arche de Dieu resta trois mois dans la maison d’Obed-Édom, dans sa maison. Et l’Éternel bénit la maison d’Obed-Édom et tout ce qui lui appartenait.	Ale Mawu fe adaka la tsi Obed-Edom gbo le efe me dzinu eto, eye Yehowa yra Obed-Edom e afe la kple efe nuwo kata. Dawid fe fiam, srüawo kple viawo
1CH	9	22	Ils étaient en tout deux cent douze, choisis pour portiers des seuils, et enregistrés dans les généalogies d’après leurs villages; David et Samuel le voyant les avaient établis dans leurs fonctions.	Ame- siawo kata, siwo wotia hena kpui- nudzodzo la, le ame alafa eve kple wuieve; wonlo wofe nkowo le wofe kofewo me, eye Dawid kple hnukpola Samuel wonye amesiwo tso wo de wofe do la me
1CH	1	33	Fils de Madian: Épha, Épher, Hénoc, Abida et Eldaa. Ce sont là tous les fils de Ketura.	Midian viwo nye: Efa, Efer, Hanoh, Abida kple Eldaa. Amesiawo kata nye Ketura fe vi- wo
1CH	17	16	Et le roi David alla se présenter devant l’Éternel, et dit: Qui suis-je, Éternel Dieu, et quelle est ma maison, pour que tu m’aies fait parvenir où je suis?	Tete fia Dawid va bobo no Yehowa nku me, eye wógblo bena: Yehowa Mawu, ameka menye, eye nuka nye afe nye be, nékplom vasede 24 17, 17 19, 2 fifi!
1CH	22	3	Il prépara aussi du fer en abondance pour les clous des battants des portes et pour les crampons, de l’airain en quantité telle qu’il n’était pas possible de le peser,	Eye Da- wid fo ga yibo nu fu fü de agboa- wo ñu Wotruwo e gatagbadzewo kple gatagbadze gà gobawo wowo iui; akobliawo mele dada me o, 4 eye sedertiawo mele hehlé me o, elabena Sidontowo kple Tiro- towo tso sedertiwo ve na Dawid tantan
1CH	11	24	Voilà ce que fit Benaja, fils de Jehojada; et il eut du renom parmi les trois vaillants hommes.	Nusia Benaya, Yehoyada vi la wo, eye wóho nko le kaléto blaetóawo dome
1CH	6	13	Schallum engendra Hilkija; Hilkija engendra Azaria;	Samuel viwo nye: Yoel, si nye ngogbea, eye evelia nye Abiya
1CH	4	9	Jaebets était plus considéré que ses frères; sa mère lui donna le nom de Jaebets, en disant: C’est parce que je l’ai enfanté avec douleur.	Bubu no Yabez nu wu noviawo, eye dadaa na nkoe be Yabez, le esi wóse veve hafi dzii ta
1CH	5	13	Leurs frères, d’après les maisons de leurs pères: Micaël, Meschullam, Schéba, Joraï, Jaecan, Zia et Éber, sept.	Wo noviwo nye esi le wofe afekowo nu: Mibael, Mesulam, Seba, Yorai, Y akan, Zia kple Eber; wole adadre
1CH	4	14	Meonothaï engendra Ophra. Seraja engendra Joab, père de la vallée des ouvriers; car ils étaient ouvriers.	Meonotai dzi Ofra, eye Seraya dzi Yoab, si nye atikpala, bali me no- lawo fofo, elabena atikpalawo wo- nye
1CH	1	34	Abraham engendra Isaac. Fils d’Isaac: Ésaü et Israël.	Eye Abraham dzi Isak. Isak viwo nye: Esau kple Israel. Esau viwo kpakple Edom-fiawo
1CH	9	5	Des Schilonites: Asaja, le premier-né, et ses fils.	Amesiwo tso Silontowo dome, wo- nye: Asaya, amesi nye ngogbevi, kple viawo
1CH	2	29	Le nom de la femme d’Abischur était Abichaïl, et elle lui enfanta Achban et Molid.	Abi- sur sró nko nye Abihayil, eya dzi Ahban kple Molid ne
1CH	9	29	D’autres veillaient sur les ustensiles, sur tous les ustensiles du sanctuaire, et sur la fleur de farine, le vin, l’huile, l’encens et les aromates.	Wotso nuawo ka- tà, siwo nye nu kokoeawo, wo memi, wein, ami, dzudzowew e- donu kple atike weWëeawo de asi na wo dometoa dewo
1CH	13	12	David eut peur de Dieu en ce jour-là, et il dit: Comment ferais-je entrer chez moi l’arche de Dieu?	Eye Dawid vó Mawu gbemagbe hegblo bena: Aleke matso Mawu fe ada- ka la ava gbonyee?
1CH	24	20	Voici les chefs du reste des Lévites. Des fils d’Amram: Schubaël; des fils de Schubaël: Jechdia;	Eye wotso wo novi Lewi-vi- wo do Mawu fe afe la fe kesino- nuwo kple nu kokoeawo nu
1CH	15	23	Bérékia et Elkana étaient portiers de l’arche.	Berehya kple Elkana wonye agbonudzola- wo le adaka la gbo
1CH	25	2	Des fils d’Asaph: Zaccur, Joseph, Nethania et Aschareéla, fils d’Asaph, sous la direction d’Asaph qui prophétisait suivant les ordres du roi.	Yasobeam, Zabdiel vi, le ha gbáto nu le dzinu gbàto me; efe ha la le ame akpe blave vo ene. K e kp.2 15 kpo 3 Etso Perez-viwo dome, eye wò- nye awafiawo kata fe tato le dzi- nu gbato me
1CH	22	5	David disait: Mon fils Salomon est jeune et d’un âge faible, et la maison qui sera bâtie à l’Éternel s’élèvera à un haut degré de renommée et de gloire dans tous les pays; c’est pourquoi je veux faire pour lui des préparatifs. Et David fit beaucoup de préparatifs avant sa mort.	Eye Dawid gblo bena: Vinye Salomo kenye dekakpui dza ko, eye ho, si wole tutu ge na Yehowa la, ele be, wóalolo nuto, ne efe nko kple bubu nade anyi- gbawo Kaia dzi, eyata mafo nuwo nu fu di ne! Ale Dawid fo nuwo nu fu tantan hafi va ku
1CH	9	33	Ce sont là les chantres, chefs de famille des Lévites, demeurant dans les chambres, exempts des autres fonctions parce qu’ils étaient à l’œuvre jour et nuit.	Amesiawo nye hadzilawo, siwo nye Lewi-vi- wo fe afekowo fe tatowo, amesiwo mewoa do bubua deke le wofe afe- wo me o, elabena do le wo si nke- ke kple zà
1CH	5	12	Joël, le premier, Schapham, le second, Jaenaï, et Schaphath, en Basan.	Yoel, si nye tato, Satam, si nyc evelia, Yanai kple Safat le Basan
1CH	4	41	Ces hommes, inscrits par leurs noms, arrivèrent du temps d’Ézéchias, roi de Juda; ils attaquèrent leurs tentes et les Maonites qui se trouvaient là, ils les dévouèrent par interdit jusqu’à ce jour, et ils s’établirent à leur place, car il y avait là des pâturages pour leurs troupeaux.	Tete amesiwo nko wonio di la, va gbà wofe agba- a Fia. II. 18, 1. d ,3.8. . 46, 10. f , 22; . 49,8.10. 22; Mo. V. 33, . 6, 14. i Yos. 19, 2 8. k kp. 26. t Won. 18, 7. dowo, eye wowu Meunito, siwo no afima le Yuda-fia Hizkiya noli: wotsro wo gbidigbidi vasede egbe heno wo tefe, elabena lànyife le afima na wofe lawo
1CH	17	11	Quand tes jours seront accomplis et que tu iras auprès de tes pères, j’élèverai ta postérité après toi, l’un de tes fils, et j’affermirai son règne.	Ne wo nke- kewo de, neyi fofowówo gbo la, ekema mado wo dzidzimevi, si tso viwówo dome la, yowóme, eye mali ke efe fiadufe
1CH	20	7	Il jeta un défi à Israël; et Jonathan, fils de Schimea, frère de David, le tua.	Eye /wodu fewu le Israel iu, tete Dawid novi, Simea vi Yo- natan, wui
1CH	10	10	Ils mirent les armes de Saül dans la maison de leur dieu, et ils attachèrent son crâne dans le temple de Dagon.	Wotso efe aWwawonu- wo da de wofe mawu fe me, eye wotso efe takoloe ku Dagon fe ho me
1CH	7	12	Schuppim et Huppim, fils d’Ir; Huschim, fils d’Acher.	Supim kple Hu- pim wonye Ir viwo; eye Husim enye Aher vi
1CH	5	21	Ils prirent leurs troupeaux, cinquante mille chameaux, deux cent cinquante mille brebis, deux mille ânes, et cent mille personnes;	Woha wote làwo: kposo akpe blaató, alé akpe alafa eve kple blaató kple tedzi akpe eve, hekpe de amegbeto akpe ala- fa deka nu
1CH	12	20	Quand il retourna à Tsiklag, voici ceux de Manassé qui se joignirent à lui: Adnach, Jozabad, Jediaël, Micaël, Jozabad, Élihu et Tsilthaï, chefs des milliers de Manassé.	Esi wóva Ziklag la, ame- wo tso Manase va egbo: Adnah, Yozabad, Yediael, Mihael, Yoza- bad, Elihu kple Ziletai, woawo nye Manase fe ame akpewo fe tatowo
