ID;Sous-thematique;Phrase FR;Trad ewe L1;Trad ewe L2;Arbitrage;Statut
VAC-INF-001;Informations generales;La vaccination protège ton enfant contre des maladies graves.;;;;A traduire
VAC-INF-002;Informations generales;Les vaccins sont gratuits au centre de santé.;;;;A traduire
VAC-INF-003;Informations generales;Le vaccin est sûr pour ton enfant.;;;;A traduire
VAC-INF-004;Informations generales;La vaccination se fait dès la naissance.;;;;A traduire
VAC-INF-005;Informations generales;Amène ton enfant à chaque rendez-vous de vaccination.;;;;A traduire
VAC-INF-006;Informations generales;Le carnet de vaccination est très important.;;;;A traduire
VAC-INF-007;Informations generales;Garde le carnet de vaccination en lieu sûr.;;;;A traduire
VAC-INF-008;Informations generales;La vaccination protège aussi la communauté.;;;;A traduire
VAC-INF-009;Informations generales;Un enfant vacciné est un enfant protégé.;;;;A traduire
VAC-INF-010;Informations generales;La vaccination ne rend pas l'enfant malade.;;;;A traduire
VAC-INF-011;Informations generales;Les infirmiers sont formés pour vacciner.;;;;A traduire
VAC-INF-012;Informations generales;Pose toutes tes questions avant la vaccination.;;;;A traduire
VAC-INF-013;Informations generales;La vaccination est gratuite pour tous les enfants.;;;;A traduire
VAC-INF-014;Informations generales;Suis le calendrier vaccinal de ton enfant.;;;;A traduire
VAC-INF-015;Informations generales;La vaccination est un droit de l'enfant.;;;;A traduire
VAC-CAL-001;Calendrier vaccinal;Le vaccin BCG se donne à la naissance.;;;;A traduire
VAC-CAL-002;Calendrier vaccinal;Le vaccin contre la polio se donne plusieurs fois.;;;;A traduire
VAC-CAL-003;Calendrier vaccinal;L'enfant reçoit le vaccin à deux mois.;;;;A traduire
VAC-CAL-004;Calendrier vaccinal;Le vaccin à quatre mois protège contre la diphtérie.;;;;A traduire
VAC-CAL-005;Calendrier vaccinal;Le vaccin à six mois est important.;;;;A traduire
VAC-CAL-006;Calendrier vaccinal;Le vaccin contre la rougeole se donne à neuf mois.;;;;A traduire
VAC-CAL-007;Calendrier vaccinal;Le vaccin contre la fièvre jaune se donne à neuf mois.;;;;A traduire
VAC-CAL-008;Calendrier vaccinal;Le vaccin contre la coqueluche protège la respiration.;;;;A traduire
VAC-CAL-009;Calendrier vaccinal;Le vaccin contre le tétanos protège des blessures.;;;;A traduire
VAC-CAL-010;Calendrier vaccinal;Le vaccin contre l'hépatite B protège le foie.;;;;A traduire
VAC-CAL-011;Calendrier vaccinal;Le vaccin contre la pneumonie protège les poumons.;;;;A traduire
VAC-CAL-012;Calendrier vaccinal;Le rappel se fait à dix-huit mois.;;;;A traduire
VAC-CAL-013;Calendrier vaccinal;L'enfant doit recevoir tous les vaccins du calendrier.;;;;A traduire
VAC-CAL-014;Calendrier vaccinal;Le vaccin contre la méningite protège le cerveau.;;;;A traduire
VAC-CAL-015;Calendrier vaccinal;Chaque vaccin a son âge prévu.;;;;A traduire
