ID;Sous-thematique;Phrase FR;Trad ewe L1;Trad ewe L2;Arbitrage;Statut
CM-ACC-001;Accueil et motif;Bonjour asseyez-vous s'il vous plaît.;;;;A traduire
CM-ACC-002;Accueil et motif;Quel est le motif de votre visite ?;;;;A traduire
CM-ACC-003;Accueil et motif;Qu'est-ce qui vous amène aujourd'hui ?;;;;A traduire
CM-ACC-004;Accueil et motif;Depuis combien de temps vous sentez-vous malade ?;;;;A traduire
CM-ACC-005;Accueil et motif;Où avez-vous mal exactement ?;;;;A traduire
CM-ACC-006;Accueil et motif;Décrivez-moi ce que vous ressentez.;;;;A traduire
CM-ACC-007;Accueil et motif;Avez-vous déjà consulté pour ce problème ?;;;;A traduire
CM-ACC-008;Accueil et motif;Qui vous a envoyé ici ?;;;;A traduire
CM-ACC-009;Accueil et motif;Avez-vous votre carte de santé ?;;;;A traduire
CM-ACC-010;Accueil et motif;Êtes-vous venu seul aujourd'hui ?;;;;A traduire
CM-ACC-011;Accueil et motif;Votre état a-t-il changé depuis hier ?;;;;A traduire
CM-ACC-012;Accueil et motif;Qu'est-ce qui aggrave votre douleur ?;;;;A traduire
CM-ACC-013;Accueil et motif;Qu'est-ce qui soulage votre douleur ?;;;;A traduire
CM-ACC-014;Accueil et motif;Avez-vous pris des médicaments avant de venir ?;;;;A traduire
CM-ACC-015;Accueil et motif;Merci de m'expliquer ce qui s'est passé.;;;;A traduire
CM-INT-001;Interrogatoire;Avez-vous de la fièvre ?;;;;A traduire
CM-INT-002;Interrogatoire;Depuis quand avez-vous ces symptômes ?;;;;A traduire
CM-INT-003;Interrogatoire;Avez-vous mal à la tête ?;;;;A traduire
CM-INT-004;Interrogatoire;Avez-vous des difficultés à respirer ?;;;;A traduire
CM-INT-005;Interrogatoire;Est-ce que vous toussez ?;;;;A traduire
CM-INT-006;Interrogatoire;Avez-vous des douleurs en urinant ?;;;;A traduire
CM-INT-007;Interrogatoire;Vos selles sont-elles normales ?;;;;A traduire
CM-INT-008;Interrogatoire;Avez-vous perdu du poids récemment ?;;;;A traduire
CM-INT-009;Interrogatoire;Dormez-vous bien la nuit ?;;;;A traduire
CM-INT-010;Interrogatoire;Avez-vous des vertiges ?;;;;A traduire
CM-INT-011;Interrogatoire;Est-ce que vous mangez normalement ?;;;;A traduire
CM-INT-012;Interrogatoire;Avez-vous des antécédents de maladie ?;;;;A traduire
CM-INT-013;Interrogatoire;Prenez-vous des médicaments régulièrement ?;;;;A traduire
CM-INT-014;Interrogatoire;Êtes-vous allergique à quelque chose ?;;;;A traduire
CM-INT-015;Interrogatoire;Avez-vous déjà eu une opération ?;;;;A traduire
CM-INT-016;Interrogatoire;Les personnes de votre famille ont-elles ce problème ?;;;;A traduire
CM-INT-017;Interrogatoire;Avez-vous voyagé récemment ?;;;;A traduire
