ID;Sous-thematique;Phrase FR;Trad ewe L1;Trad ewe L2;Arbitrage;Statut
SCO-INS-001;Inscription;L'inscription à l'école commence en septembre.;;;;A traduire
SCO-INS-002;Inscription;Amenez l'acte de naissance de l'enfant.;;;;A traduire
SCO-INS-003;Inscription;Le carnet de vaccination est demandé à l'inscription.;;;;A traduire
SCO-INS-004;Inscription;L'école primaire est gratuite au Togo.;;;;A traduire
SCO-INS-005;Inscription;Inscrivez votre enfant dès six ans.;;;;A traduire
SCO-INS-006;Inscription;La directrice va recevoir les parents.;;;;A traduire
SCO-INS-007;Inscription;L'inscription se fait au bureau de l'école.;;;;A traduire
SCO-INS-008;Inscription;Préparez deux photos d'identité.;;;;A traduire
SCO-INS-009;Inscription;Les frais d'inscription sont affichés à l'école.;;;;A traduire
SCO-INS-010;Inscription;Inscrivez aussi les filles à l'école.;;;;A traduire
SCO-INS-011;Inscription;L'école accepte les enfants du quartier.;;;;A traduire
SCO-INS-012;Inscription;Chaque enfant a droit à l'éducation.;;;;A traduire
SCO-INS-013;Inscription;L'inscription en ligne est possible dans certaines écoles.;;;;A traduire
SCO-INS-014;Inscription;Le cahier de liaison est remis à l'inscription.;;;;A traduire
SCO-INS-015;Inscription;Bienvenue à la nouvelle année scolaire.;;;;A traduire
SCO-VIE-001;La vie a l'ecole;L'école commence à sept heures et demie.;;;;A traduire
SCO-VIE-002;La vie a l'ecole;Les cours finissent à seize heures.;;;;A traduire
SCO-VIE-003;La vie a l'ecole;Apporte tes livres et tes cahiers.;;;;A traduire
SCO-VIE-004;La vie a l'ecole;Écoute le maître en classe.;;;;A traduire
SCO-VIE-005;La vie a l'ecole;Lève la main pour parler.;;;;A traduire
SCO-VIE-006;La vie a l'ecole;Fais tes devoirs chaque soir.;;;;A traduire
SCO-VIE-007;La vie a l'ecole;Révise tes leçons régulièrement.;;;;A traduire
SCO-VIE-008;La vie a l'ecole;L'école est un lieu de respect.;;;;A traduire
SCO-VIE-009;La vie a l'ecole;Respecte tes camarades.;;;;A traduire
SCO-VIE-010;La vie a l'ecole;Ne te bats pas dans la cour.;;;;A traduire
SCO-VIE-011;La vie a l'ecole;Participe aux activités de la classe.;;;;A traduire
SCO-VIE-012;La vie a l'ecole;Pose des questions si tu ne comprends pas.;;;;A traduire
SCO-VIE-013;La vie a l'ecole;L'absentéisme nuit à la réussite.;;;;A traduire
SCO-VIE-014;La vie a l'ecole;Viens à l'école tous les jours.;;;;A traduire
SCO-VIE-015;La vie a l'ecole;Les uniformes sont obligatoires dans certaines écoles.;;;;A traduire
SCO-VIE-016;La vie a l'ecole;La cantine sert un repas à midi.;;;;A traduire
SCO-VIE-017;La vie a l'ecole;Bois de l'eau propre à l'école.;;;;A traduire
SCO-VIE-018;La vie a l'ecole;Lave tes mains avant de manger.;;;;A traduire
SCO-VIE-019;La vie a l'ecole;Les toilettes de l'école sont entretenues.;;;;A traduire
SCO-VIE-020;La vie a l'ecole;La récréation est à dix heures.;;;;A traduire
SCO-PAR-001;Parents et ecole;Les parents sont invités à la réunion de rentrée.;;;;A traduire
SCO-PAR-002;Parents et ecole;Rencontrez les enseignants de vos enfants.;;;;A traduire
SCO-PAR-003;Parents et ecole;Suivez les résultats de votre enfant.;;;;A traduire
SCO-PAR-004;Parents et ecole;Signez le cahier de liaison chaque semaine.;;;;A traduire
SCO-PAR-005;Parents et ecole;Le bulletin est remis chaque trimestre.;;;;A traduire
SCO-PAR-006;Parents et ecole;Participez à la vie de l'école.;;;;A traduire
SCO-PAR-007;Parents et ecole;L'association des parents d'élèves vous accueille.;;;;A traduire
SCO-PAR-008;Parents et ecole;Communiquez avec le maître en cas de problème.;;;;A traduire
SCO-PAR-009;Parents et ecole;Encouragez votre enfant dans ses études.;;;;A traduire
SCO-PAR-010;Parents et ecole;Prévoyez un espace calme pour les devoirs.;;;;A traduire
SCO-PAR-011;Parents et ecole;La réussite scolaire commence à la maison.;;;;A traduire
SCO-PAR-012;Parents et ecole;Écoutez les difficultés de votre enfant.;;;;A traduire
SCO-PAR-013;Parents et ecole;Ne punissez pas l'enfant pour un mauvais bulletin.;;;;A traduire
SCO-PAR-014;Parents et ecole;Cherchez ensemble des solutions.;;;;A traduire
SCO-PAR-015;Parents et ecole;L'école et la famille travaillent ensemble.;;;;A traduire
SCO-ROL-001;Roles et devoirs;L'enseignant explique les leçons.;;;;A traduire
SCO-ROL-002;Roles et devoirs;L'élève doit être ponctuel.;;;;A traduire
SCO-ROL-003;Roles et devoirs;Le directeur gère l'école.;;;;A traduire
SCO-ROL-004;Roles et devoirs;Les parents soutiennent l'apprentissage.;;;;A traduire
SCO-ROL-005;Roles et devoirs;L'élève doit respecter le matériel scolaire.;;;;A traduire
SCO-ROL-006;Roles et devoirs;Le maître corrige les devoirs.;;;;A traduire
SCO-ROL-007;Roles et devoirs;L'élève doit ranger sa classe.;;;;A traduire
SCO-ROL-008;Roles et devoirs;Les délégués représentent les élèves.;;;;A traduire
SCO-ROL-009;Roles et devoirs;Le surveillant veille à la discipline.;;;;A traduire
SCO-ROL-010;Roles et devoirs;Chacun a son rôle à l'école.;;;;A traduire
SCO-ROL-011;Roles et devoirs;L'élève doit dire la vérité.;;;;A traduire
SCO-ROL-012;Roles et devoirs;Le maître est là pour aider.;;;;A traduire
SCO-ROL-013;Roles et devoirs;Les grands aident les petits.;;;;A traduire
SCO-ROL-014;Roles et devoirs;L'école apprend à vivre ensemble.;;;;A traduire
SCO-ROL-015;Roles et devoirs;Le respect des règles protège tout le monde.;;;;A traduire
SCO-DIF-001;Difficultes scolaires;Mon enfant a des difficultés en lecture.;;;;A traduire
SCO-DIF-002;Difficultes scolaires;Parlez-en à l'enseignant.;;;;A traduire
SCO-DIF-003;Difficultes scolaires;Des cours de soutien sont organisés.;;;;A traduire
SCO-DIF-004;Difficultes scolaires;L'enfant peut redoubler si nécessaire.;;;;A traduire
SCO-DIF-005;Difficultes scolaires;Un enfant en difficulté a besoin d'aide.;;;;A traduire
SCO-DIF-006;Difficultes scolaires;Reprenez les bases avec votre enfant.;;;;A traduire
SCO-DIF-007;Difficultes scolaires;La lecture se travaille tous les jours.;;;;A traduire
SCO-DIF-008;Difficultes scolaires;L'écriture demande de la patience.;;;;A traduire
SCO-DIF-009;Difficultes scolaires;Ne comparez pas votre enfant aux autres.;;;;A traduire
SCO-DIF-010;Difficultes scolaires;Chaque enfant apprend à son rythme.;;;;A traduire
SCO-DIF-011;Difficultes scolaires;L'école peut proposer un accompagnement.;;;;A traduire
SCO-DIF-012;Difficultes scolaires;Demandez un entretien avec le maître.;;;;A traduire
SCO-DIF-013;Difficultes scolaires;La santé de l'enfant influence ses résultats.;;;;A traduire
SCO-DIF-014;Difficultes scolaires;Un enfant fatigué apprend mal.;;;;A traduire
SCO-DIF-015;Difficultes scolaires;Avec de l'aide tout enfant peut progresser.;;;;A traduire
SCO-REU-001;Reussite;La réussite scolaire demande du travail.;;;;A traduire
SCO-REU-002;Reussite;Félicitations pour tes bons résultats.;;;;A traduire
SCO-REU-003;Reussite;Continue sur cette lancée.;;;;A traduire
SCO-REU-004;Reussite;Le travail régulier paie toujours.;;;;A traduire
SCO-REU-005;Reussite;Un élève appliqué réussit.;;;;A traduire
SCO-REU-006;Reussite;La curiosité aide à apprendre.;;;;A traduire
SCO-REU-007;Reussite;Lis des livres pour t'améliorer.;;;;A traduire
SCO-REU-008;Reussite;Chaque effort compte.;;;;A traduire
SCO-REU-009;Reussite;Ton avenir se construit à l'école.;;;;A traduire
SCO-REU-010;Reussite;Tu peux être fier de toi.;;;;A traduire
SCO-SAN-001;Ecole et sante;Les élèves sont vaccinés à l'école.;;;;A traduire
SCO-SAN-002;Ecole et sante;Le déparasitage se fait à l'école chaque année.;;;;A traduire
SCO-SAN-003;Ecole et sante;Un élève en bonne santé apprend mieux.;;;;A traduire
SCO-SAN-004;Ecole et sante;Signalez tout problème de santé à l'école.;;;;A traduire
SCO-SAN-005;Ecole et sante;Les lunettes aident les enfants qui voient mal.;;;;A traduire
SCO-SAN-006;Ecole et sante;La visite médicale scolaire est gratuite.;;;;A traduire
SCO-SAN-007;Ecole et sante;Les mains propres évitent les maladies.;;;;A traduire
SCO-SAN-008;Ecole et sante;Dormez tôt pour être en forme.;;;;A traduire
SCO-SAN-009;Ecole et sante;Petit-déjeunez avant de venir à l'école.;;;;A traduire
SCO-SAN-010;Ecole et sante;L'école veille à la santé des élèves.;;;;A traduire
