ID;Sous-thematique;Phrase FR;Trad ewe L1;Trad ewe L2;Arbitrage;Statut
DM-MAI-001;A la mairie;La mairie est ouverte du lundi au vendredi.;;;;A traduire
DM-MAI-002;A la mairie;Le guichet unique simplifie les démarches.;;;;A traduire
DM-MAI-003;A la mairie;Prenez un numéro d'attente.;;;;A traduire
DM-MAI-004;A la mairie;L'agent vous indique le bon guichet.;;;;A traduire
DM-MAI-005;A la mairie;Préparez vos pièces avant de venir.;;;;A traduire
DM-MAI-006;A la mairie;Les horaires d'affluence sont le matin.;;;;A traduire
DM-MAI-007;A la mairie;Vérifiez les frais avant de payer.;;;;A traduire
DM-MAI-008;A la mairie;Les paiements se font au guichet.;;;;A traduire
DM-MAI-009;A la mairie;Demandez un reçu pour chaque paiement.;;;;A traduire
DM-MAI-010;A la mairie;Les formulaires sont disponibles à l'accueil.;;;;A traduire
DM-MAI-011;A la mairie;Remplissez le formulaire lisiblement.;;;;A traduire
DM-MAI-012;A la mairie;En cas de doute demandez de l'aide.;;;;A traduire
DM-MAI-013;A la mairie;Le maire reçoit les citoyens sur rendez-vous.;;;;A traduire
DM-MAI-014;A la mairie;Les décisions de la mairie sont affichées.;;;;A traduire
DM-MAI-015;A la mairie;La mairie est au service des citoyens.;;;;A traduire
DM-DOC-001;Documents officiels;Le certificat de résidence se demande à la mairie.;;;;A traduire
DM-DOC-002;Documents officiels;Le casier judiciaire se demande au tribunal.;;;;A traduire
DM-DOC-003;Documents officiels;Le certificat de nationalité se demande au ministère.;;;;A traduire
DM-DOC-004;Documents officiels;Le certificat médical se délivre au centre de santé.;;;;A traduire
DM-DOC-005;Documents officiels;Le certificat de travail se demande à l'employeur.;;;;A traduire
DM-DOC-006;Documents officiels;La fiche de paie est un document officiel.;;;;A traduire
DM-DOC-007;Documents officiels;Le diplôme original doit être conservé.;;;;A traduire
DM-DOC-008;Documents officiels;Faites des copies certifiées de vos diplômes.;;;;A traduire
DM-DOC-009;Documents officiels;Les documents officiels ont des délais de validité.;;;;A traduire
DM-DOC-010;Documents officiels;Vérifiez la date d'expiration de vos papiers.;;;;A traduire
DM-DOC-011;Documents officiels;Renouvelez vos documents à temps.;;;;A traduire
DM-DOC-012;Documents officiels;Un document falsifié est un délit.;;;;A traduire
DM-DOC-013;Documents officiels;Ne confiez vos originaux à personne.;;;;A traduire
DM-DOC-014;Documents officiels;Les copies numériques sont utiles.;;;;A traduire
DM-DOC-015;Documents officiels;Rangez vos documents dans un endroit sûr.;;;;A traduire
DM-DOC-016;Documents officiels;Classez vos papiers par catégorie.;;;;A traduire
DM-DOC-017;Documents officiels;Une chemise pour les documents de famille.;;;;A traduire
DM-DOC-018;Documents officiels;Les documents scolaires des enfants sont précieux.;;;;A traduire
DM-DOC-019;Documents officiels;Photographiez vos documents importants.;;;;A traduire
DM-DOC-020;Documents officiels;Un document bien gardé dure longtemps.;;;;A traduire
DM-PAS-001;Passeport et CNI;La carte nationale d'identité est obligatoire à dix-huit ans.;;;;A traduire
DM-PAS-002;Passeport et CNI;Le passeport se demande à la direction de l'immigration.;;;;A traduire
DM-PAS-003;Passeport et CNI;La CNI se demande à la mairie.;;;;A traduire
DM-PAS-004;Passeport et CNI;Le passeport nécessite des photos d'identité.;;;;A traduire
DM-PAS-005;Passeport et CNI;Le passeport est valable cinq ans.;;;;A traduire
DM-PAS-006;Passeport et CNI;La CNI est valable dix ans.;;;;A traduire
DM-PAS-007;Passeport et CNI;La demande de CNI se fait aussi en ligne.;;;;A traduire
DM-PAS-008;Passeport et CNI;Retirez votre carte à la date indiquée.;;;;A traduire
DM-PAS-009;Passeport et CNI;En cas de perte faites une déclaration.;;;;A traduire
DM-PAS-010;Passeport et CNI;La CNI est gratuite pour les étudiants.;;;;A traduire
DM-PAS-011;Passeport et CNI;Le passeport facilite les voyages.;;;;A traduire
DM-PAS-012;Passeport et CNI;Vérifiez l'orthographe de votre nom.;;;;A traduire
DM-PAS-013;Passeport et CNI;La biométrie est prise lors de la demande.;;;;A traduire
DM-PAS-014;Passeport et CNI;Les enfants voyagent avec leur propre passeport.;;;;A traduire
DM-PAS-015;Passeport et CNI;Préparez votre voyage à l'avance.;;;;A traduire
DM-CER-001;Certificats et legalisation;La légalisation confirme la signature.;;;;A traduire
DM-CER-002;Certificats et legalisation;La certification conforme copie l'original.;;;;A traduire
DM-CER-003;Certificats et legalisation;Les deux démarches se font au tribunal.;;;;A traduire
DM-CER-004;Certificats et legalisation;Les documents étrangers sont légalisés.;;;;A traduire
DM-CER-005;Certificats et legalisation;Apportez l'original et la copie.;;;;A traduire
DM-CER-006;Certificats et legalisation;Les frais de légalisation sont modérés.;;;;A traduire
DM-CER-007;Certificats et legalisation;La légalisation est rapide.;;;;A traduire
DM-CER-008;Certificats et legalisation;Les documents pour l'étranger sont traduits.;;;;A traduire
DM-CER-009;Certificats et legalisation;Les traductions assermentées sont officielles.;;;;A traduire
DM-CER-010;Certificats et legalisation;Vérifiez si votre document doit être légalisé.;;;;A traduire
DM-CER-011;Certificats et legalisation;L'ambassade peut aussi légaliser.;;;;A traduire
DM-CER-012;Certificats et legalisation;Demandez conseil avant de légaliser.;;;;A traduire
DM-CER-013;Certificats et legalisation;Un document légalisé est reconnu partout.;;;;A traduire
DM-CER-014;Certificats et legalisation;Gardez la trace des légalisations.;;;;A traduire
DM-CER-015;Certificats et legalisation;Les démarches sont simplifiées récemment.;;;;A traduire
DM-LIG-001;Services en ligne;Le Togo développe les services administratifs en ligne.;;;;A traduire
DM-LIG-002;Services en ligne;Créez un compte sur la plateforme officielle.;;;;A traduire
DM-LIG-003;Services en ligne;Certaines attestations se téléchargent en ligne.;;;;A traduire
DM-LIG-004;Services en ligne;Payez vos taxes en ligne.;;;;A traduire
DM-LIG-005;Services en ligne;Suivez votre dossier en ligne.;;;;A traduire
DM-LIG-006;Services en ligne;Les notifications arrivent par SMS.;;;;A traduire
DM-LIG-007;Services en ligne;La signature électronique se développe.;;;;A traduire
DM-LIG-008;Services en ligne;Attention aux faux sites administratifs.;;;;A traduire
DM-LIG-009;Services en ligne;Vérifiez l'adresse officielle du service.;;;;A traduire
DM-LIG-010;Services en ligne;Le numérique simplifie les démarches.;;;;A traduire
DM-LIT-001;Litiges et reclamations;En cas de problème déposez une réclamation.;;;;A traduire
DM-LIT-002;Litiges et reclamations;Le registre des réclamations existe dans chaque service.;;;;A traduire
DM-LIT-003;Litiges et reclamations;Vous pouvez écrire au service concerné.;;;;A traduire
DM-LIT-004;Litiges et reclamations;La médiation règle beaucoup de conflits.;;;;A traduire
DM-LIT-005;Litiges et reclamations;Le tribunal est le dernier recours.;;;;A traduire
DM-LIT-006;Litiges et reclamations;Gardez les preuves de vos démarches.;;;;A traduire
DM-LIT-007;Litiges et reclamations;Un recours doit être motivé.;;;;A traduire
DM-LIT-008;Litiges et reclamations;Les délais de recours sont courts.;;;;A traduire
DM-LIT-009;Litiges et reclamations;Demandez conseil avant de saisir le tribunal.;;;;A traduire
DM-LIT-010;Litiges et reclamations;Vos droits sont protégés par la loi.;;;;A traduire
DM-CON-001;Conseils pratiques;Vérifiez les documents exigés avant chaque démarche.;;;;A traduire
DM-CON-002;Conseils pratiques;Anticipez les délais administratifs.;;;;A traduire
