ID;reference;francais;ewe;statut
1;PSA 9:14;Aie pitié de moi, Éternel!;Ve nunye, Yehowa! Wó ame- si de asi tenye tso ku fe agbowo me la, kpo alesi mele fu kpemi le nye adikátowo si me la da;
2;2TH 1:1;Paul, et Silvain, et Timothée, à l’Église des Thessaloniciens, qui est en Dieu notre Père et en Jésus-Christ le Seigneur:;Paulo kple Silvano kple Timo- »teo wonlo do de Tesalonika- towo fe hame, si le Mawu, mía z Ro. 1,7. Fofo, kple Afeto Yesu Kristo me: « Tes. I. 1, 1;
3;JOL 2:24;Les aires se rempliront de blé,;Lu ayo lugbofe fü, eye aha yeye kple ami ado agbogbo de ahafiàfe;
4;DAN 5:2;Belschatsar, quand il eut goûté au vin, fit apporter les vases d’or et d’argent que son père Nebucadnetsar avait enlevés du temple de Jérusalem, afin que le roi et ses grands, ses femmes et ses concubines, s’en servissent pour boire.;Eye esi Belsazar mu aha la, ede se be, woadatso sikanu kple klosalonu, siwo fofoa Nebu- kadnezar fo tso gbedoho me le Yerusalem la ve, ne fia la kple efe amegáwo, sróawo kple efe ahiàwo nano nu le wo me./ 3 Tete wodatso sikanu, siwo wofo le Ma- wu fe afe fe gbedoho me le Ye- rusalem la ve, eye fia la kple efe amegawo, sróawo kple efe ahiá- wo no nu le wo me;
5;MIC 7:15;Comme au jour où tu sortis du pays d’Égypte,;Mana wóakpo nu- RE 103, 3;
6;JOL 1:3;Racontez-le à vos enfants,;"Mihl&e ña mia viwo, mia viwo na- hl&e aia wo viwo, eye wo viwo na- ee afia wo megbeviwo! 4Nusi ño- wo kpoto di la, wetsuviwo dui; nusi wetsuviwo kpoto di la, wetrawo dui, eye nusi wetrawo kpoto di la, abowo dui";
7;NEH 8:11;"Les Lévites calmaient tout le peuple, en disant: Taisez-vous, car ce jour est saint; ne vous affligez pas!";"Eye Le- wi-viwo fa ako na duko blibo la gblo bena: Mizi dodoe, elabena nkeke sia nu ko; eye migaha nu o!";
8;2JN 1:3;que la grâce, la miséricorde et la paix soient avec vous de la part de Dieu le Père et de la part de Jésus-Christ, le Fils du Père, dans la vérité et la charité!;Amenuveve kple nu- blanuikpokpo kpakple nutifafa, si tso Mawu Fofo la kple Yesu Kri- sto, si nye Fofo la fe Vi la gbo la, ano anyi kpli mi le nyatefe kple loló me! Nubohló bena, woano nyatefe me;
9;HEB 9:18;Voilà pourquoi c’est avec du sang que même la première alliance fut inaugurée.;Eyata esi woko nubabla gbàto nu la, womegbe wutsotso kpe de enu o;
10;MAL 3:12;Toutes les nations vous diront heureux,;Eye dukowo kata akafu mi, elabena mianye anyigba dze- ani, Yehowa Zebaot ye gbloe;
11;AMO 7:12;"Et Amatsia dit à Amos: Homme à visions, va-t-en, fuis dans le pays de Juda; manges-y ton pain, et là tu prophétiseras.";Eye Amazya gblo na Amos bena: 'Nukpola, si yi Yuda-nyigba dzi, gblo nya di le gama, ne nakpo abolo adu le afi- ma;
12;EZK 44:23;Ils enseigneront à mon peuple à distinguer ce qui est saint de ce qui est profane, ils lui feront connaître la différence entre ce qui est impur et ce qui est pur.;Woafia *vovo, si le nu kokoe kple nu makomako do- me, kpakple vovo, si le nu madza- madza kple nu dzadze dome la, nye duko;
13;PRO 13:17;Un envoyé méchant tombe dans le malheur,;"Duhola vodi gena de dzopbevoe me; ke duhola nyatefeto daa gbe le ame iu";
14;JOB 8:2;Jusqu’à quand veux-tu discourir de la sorte,;Zi nenie nano nu fom alea, eye wó nu me nya nanye ya Wuduwudu?;
15;2SA 2:16;Chacun saisissant son adversaire par la tête lui enfonça son épée dans le flanc, et ils tombèrent tous ensemble. Et l’on donna à ce lieu, qui est près de Gabaon, le nom de Helkath-Hatsurim.;"Wole ta na wo noewo hefo yi de wo noewo fe apa me, eye wo- dze anyi zi deka. Eye wona nko tefe sia be nudafe; ele Gibeon. Abner wu Asahel";
16;2KI 19:7;"Je vais mettre en lui un esprit tel que, sur une nouvelle qu’il recevra, il retournera dans son pays; et je le ferai tomber par l’épée dans son pays.";Kpo da, made gbogboa de eme, eye dwüase nyaa de ahagbu- gbo ayi efe anyigba dzi, eye mana woatsi yi nu le efe anyigba dzi. 8EsiRabsake gbugbo yi la, ekpo Asur-fia wóle awa wom kple Lib- na, elabena ese be, eho tso Lahis;
17;ACT 22:8;Je répondis: Qui es-tu, Seigneur? Et il me dit: Je suis Jésus de Nazareth, que tu persécutes.\wj*;Eye medo nu bena: Wà amekae, Afeto? Eye wógblo nam bena: Nye enye Yesu, Nazareteto, ame- si yome tim néle;
18;ZEC 13:6;Et si on lui demande:;"Eye ne wo- gblo ne be: Abi kawoe nye esi le asi nu na wo ha la, ado nu be: De wofom le hónyewo £e me. t Fin. IL 1, 8. u IIem, 47,1 8. v ; Nynd. 11, 15. Kplola gà Ia Ku, efe aléha la ka; kake wogafo enu fu";
19;COL 1:4;ayant été informés de votre foi en Jésus-Christ et de votre charité pour tous les saints,;Ke esia gblom mele bena, amea deke nagable mi kple nya- fofodeamenu o;
20;EXO 22:11;"le serment au nom de l’Éternel interviendra entre les deux parties, et celui qui a gardé l’animal déclarera qu’il n’a pas mis la main sur le bien de son prochain; le maître de l’animal acceptera ce serment, et l’autre ne sera point tenu à une restitution.";Nenye de wofii le egbo la, ekema wóado etefe na là la to;
