ID;Sous-thematique;Phrase FR;Trad ewe L1;Trad ewe L2;Arbitrage;Statut
GRO-SUI-001;Suivi de grossesse;Félicitations vous êtes enceinte.;;;;A traduire
GRO-SUI-002;Suivi de grossesse;La consultation prénatale est très importante.;;;;A traduire
GRO-SUI-003;Suivi de grossesse;Venez à la consultation chaque mois.;;;;A traduire
GRO-SUI-004;Suivi de grossesse;La première consultation se fait tôt dans la grossesse.;;;;A traduire
GRO-SUI-005;Suivi de grossesse;Nous allons suivre votre grossesse ensemble.;;;;A traduire
GRO-SUI-006;Suivi de grossesse;Avez-vous vos analyses de sang ?;;;;A traduire
GRO-SUI-007;Suivi de grossesse;Votre tension est bonne aujourd'hui.;;;;A traduire
GRO-SUI-008;Suivi de grossesse;Le bébé bouge bien.;;;;A traduire
GRO-SUI-009;Suivi de grossesse;Nous allons écouter le cœur du bébé.;;;;A traduire
GRO-SUI-010;Suivi de grossesse;Prenez vos comprimés de fer tous les jours.;;;;A traduire
GRO-SUI-011;Suivi de grossesse;L'acide folique protège le bébé.;;;;A traduire
GRO-SUI-012;Suivi de grossesse;Le vaccin contre le tétanos protège la mère et l'enfant.;;;;A traduire
GRO-SUI-013;Suivi de grossesse;Reposez-vous pendant la grossesse.;;;;A traduire
GRO-SUI-014;Suivi de grossesse;Évitez de porter de lourdes charges.;;;;A traduire
GRO-SUI-015;Suivi de grossesse;Signalez tout saignement à la consultation.;;;;A traduire
GRO-SUI-016;Suivi de grossesse;Les douleurs du ventre doivent être vérifiées.;;;;A traduire
GRO-SUI-017;Suivi de grossesse;La date prévue de l'accouchement est notée.;;;;A traduire
GRO-SUI-018;Suivi de grossesse;Préparez votre valise pour la maternité.;;;;A traduire
GRO-SUI-019;Suivi de grossesse;Choisissez le lieu d'accouchement à l'avance.;;;;A traduire
GRO-SUI-020;Suivi de grossesse;La grossesse se passe bien pour l'instant.;;;;A traduire
GRO-ALI-001;Alimentation de la femme enceinte;Mangez des repas variés pendant la grossesse.;;;;A traduire
GRO-ALI-002;Alimentation de la femme enceinte;Les légumes verts sont riches en vitamines.;;;;A traduire
GRO-ALI-003;Alimentation de la femme enceinte;Mangez des fruits chaque jour.;;;;A traduire
GRO-ALI-004;Alimentation de la femme enceinte;Le poisson est bon pour le bébé.;;;;A traduire
GRO-ALI-005;Alimentation de la femme enceinte;Buvez de l'eau propre en quantité.;;;;A traduire
GRO-ALI-006;Alimentation de la femme enceinte;Évitez l'alcool pendant la grossesse.;;;;A traduire
GRO-ALI-007;Alimentation de la femme enceinte;Ne fumez pas pendant la grossesse.;;;;A traduire
GRO-ALI-008;Alimentation de la femme enceinte;Réduisez le café pendant la grossesse.;;;;A traduire
GRO-ALI-009;Alimentation de la femme enceinte;Mangez des aliments riches en fer.;;;;A traduire
GRO-ALI-010;Alimentation de la femme enceinte;Les haricots apportent des protéines.;;;;A traduire
GRO-ALI-011;Alimentation de la femme enceinte;Ne sautez pas les repas.;;;;A traduire
GRO-ALI-012;Alimentation de la femme enceinte;Mangez du petit poisson avec les arêtes.;;;;A traduire
GRO-ALI-013;Alimentation de la femme enceinte;Le lait est bon pour les os.;;;;A traduire
GRO-ALI-014;Alimentation de la femme enceinte;Mangez des arachides avec modération.;;;;A traduire
GRO-ALI-015;Alimentation de la femme enceinte;Une bonne alimentation protège la mère et le bébé.;;;;A traduire
GRO-ACC-001;Accouchement;Venez à la maternité dès les premières contractions.;;;;A traduire
GRO-ACC-002;Accouchement;Si les eaux se brisent venez immédiatement.;;;;A traduire
GRO-ACC-003;Accouchement;Apportez le carnet de santé.;;;;A traduire
GRO-ACC-004;Accouchement;La sage-femme va vous accompagner.;;;;A traduire
GRO-ACC-005;Accouchement;Respirez calmement pendant les contractions.;;;;A traduire
GRO-ACC-006;Accouchement;L'accouchement se passe bien.;;;;A traduire
GRO-ACC-007;Accouchement;Vous pouvez avoir un accompagnant.;;;;A traduire
GRO-ACC-008;Accouchement;Le bébé va naître dans quelques heures.;;;;A traduire
GRO-ACC-009;Accouchement;Poussez doucement quand on vous le dit.;;;;A traduire
GRO-ACC-010;Accouchement;C'est un garçon félicitations.;;;;A traduire
GRO-ACC-011;Accouchement;C'est une fille félicitations.;;;;A traduire
GRO-ACC-012;Accouchement;Le bébé est en bonne santé.;;;;A traduire
GRO-ACC-013;Accouchement;Le bébé va être pesé maintenant.;;;;A traduire
GRO-ACC-014;Accouchement;Allaitez le bébé dès la naissance.;;;;A traduire
GRO-ACC-015;Accouchement;Reposez-vous après l'accouchement.;;;;A traduire
GRO-APR-001;Apres l'accouchement;La consultation post-natale se fait après six semaines.;;;;A traduire
GRO-APR-002;Apres l'accouchement;Surveillez la fièvre après l'accouchement.;;;;A traduire
GRO-APR-003;Apres l'accouchement;Consultez si le saignement augmente.;;;;A traduire
GRO-APR-004;Apres l'accouchement;Mangez bien pour récupérer.;;;;A traduire
GRO-APR-005;Apres l'accouchement;Reposez-vous quand le bébé dort.;;;;A traduire
GRO-APR-006;Apres l'accouchement;Le ventre revient doucement à la normale.;;;;A traduire
GRO-APR-007;Apres l'accouchement;Signalez toute douleur anormale.;;;;A traduire
GRO-APR-008;Apres l'accouchement;Le planning familial est discuté à la consultation.;;;;A traduire
GRO-APR-009;Apres l'accouchement;Vous pouvez allaiter sans crainte.;;;;A traduire
GRO-APR-010;Apres l'accouchement;Prenez soin de vous pour prendre soin du bébé.;;;;A traduire
GRO-ALL-001;Allaitement;L'allaitement maternel est le meilleur pour le bébé.;;;;A traduire
GRO-ALL-002;Allaitement;Allaitez à la demande jour et nuit.;;;;A traduire
GRO-ALL-003;Allaitement;Le lait maternel protège contre les maladies.;;;;A traduire
GRO-ALL-004;Allaitement;Allaitez le bébé au moins six mois.;;;;A traduire
GRO-ALL-005;Allaitement;La position d'allaitement doit être confortable.;;;;A traduire
GRO-ALL-006;Allaitement;Le bébé doit bien ouvrir la bouche.;;;;A traduire
GRO-ALL-007;Allaitement;Allaitez des deux seins.;;;;A traduire
GRO-ALL-008;Allaitement;L'allaitement aide la mère à récupérer.;;;;A traduire
GRO-ALL-009;Allaitement;Ne donnez pas d'eau au bébé avant six mois.;;;;A traduire
