livre	chapitre	verset	fr	ewe
GEN	1	13	Ainsi, il y eut un soir, et il y eut un matin: ce fut le troisième jour.	Ale za do, eye iu ke, eya nye nkeke etolia
GEN	1	17	Dieu les plaça dans l’étendue du ciel, pour éclairer la terre,	Eye Mawu tso wo do dzifolilia nu, bena woaklé de anyi- gba dzi, 18 woadu nkeke kple za dzi, eye woamà kekeli kple viviti dome. Eye Mawu kpo bena enyo
GEN	1	19	Ainsi, il y eut un soir, et il y eut un matin: ce fut le quatrième jour.	Ale za do, eye nu ke, eya nye nkeke enelia
GEN	1	23	Ainsi, il y eut un soir, et il y eut un matin: ce fut le cinquième jour.	Ale zà do, eye nu ke, eya nye ükeke atolia
GEN	2	3	Dieu bénit le septième jour, et il le sanctifia, parce qu’en ce jour il se reposa de toute son œuvre qu’il avait créée en la faisant.	Eye Mawu yra Heb, 4 io. nkeke adrelia, eye wókgo enun, elabena eya dzi wódzudzo edo- kui le tso efe dowowo, siwo kata Mawu wo, eye wona wodo la me./ /,Mv, T 20, Amegbeto le Paradiso, 4 Esia nye dzifo kple anyigba fe dzodzomenyawo le wo wowo me le geyigi, si me Yehowa Mawu wo anyigba kple dzifo
GEN	2	16	L’Éternel Dieu donna cet ordre à l’homme: Tu pourras manger de tous les arbres du jardin;	Eye Yehowa Mawu de se na ame gblo bena: Du abometiawo katà fe tsetse fa; 17 ke ati, si na wodzea si nyw kple yb la, me- gadu eya fe tsetsea deke o; gbe- sigbe naiu efe de, ku ke naku
GEN	2	25	L’homme et sa femme étaient tous deux nus, et ils n’en avaient point honte.	Eye wo kpakple eve la wole fefle, ame la kple sróa, eye nu mekpea wo o. Nuv à me dzedze. Ke da dze aye wu gbemelà, a siwo kata Yehowa Mawu wo la, eye wogblo na nyonu la bena: Vavae Mawu gblo bena, migadu abometiawo kata fe tsetsea deke o maha?
GEN	4	9	L’Éternel dit à Caïn: Où est ton frère Abel? Il répondit: Je ne sais pas; suis-je le gardien de mon frère?	Tete Yehowa gblo na eYoh.1.9,12.15. Kain bena: Afika noviwo Habel le? Eye wodo nu ne be: Nyeme- 4, 9 5, 19 bena Set; elabena egblo be: Ma- wu do dzidzime bubu Habel, amesi Kain wu la, tefe nam
GEN	4	10	Et Dieu dit: Qu’as-tu fait? La voix du sang de ton frère crie de la terre jusqu’à moi.	Eye wogblo ne bena: me. Nuka enye esi nëwo? Kpo da, 4noviwó fe Wu, si nëko de anyi apwa 21,20: Fofo gāwo ndun e ka Adamdai Ja, fe gbe le didim tso anyigba 12, 24. dzi mese!
GEN	4	14	Voici, tu me chasses aujourd’hui de cette terre; je serai caché loin de ta face, je serai errant et vagabond sur la terre, et quiconque me trouvera me tuera.	Wóe nyàm egbe tso P5 agbledenyigba la dzi; madzo le wo nkuta anye tsatsala kple go- dzela le anyigba dzi, eye ava me bena, amesiame, si akpom 1a, awum.7 15 Eye Yehowa gblo ne bena: Eyata amesiame, si awu Kain la, woabia hlóe zi gbo zi adre. Eye Yehowa de dzesi Kain, bena amesiame, si ado goe la, na- gawui o
GEN	4	23	Lémec dit à ses femmes:	Eye Lameh gblo na srówo bena: Ada kple Zila, mido to nye gbe; mi Lameh srówo, mise ye nyawo! Vava, mewu nutsu de nye abi tefe kple dekakpui de nye dodro tete
GEN	4	24	Caïn sera vengé sept fois,	Elabena wobia hló Kain zi adre, ke Lameh la zi blaadre vo aire. Set kple Enos
GEN	6	8	Mais Noé trouva grâce aux yeux de l’Éternel.	Ke Yehowa ve Noa nu. Noa
GEN	6	22	C’est ce que fit Noé: il exécuta tout ce que Dieu lui avait ordonné.	Eye Noa woe; alesi Mawu de se ne la, nenema pe wowo. Noa yi adakawu la me. Tete Yehowa gblo na Noa be- v na: Yi ge adakawu la me, wò nuto kple afewo me kata, elabena mekpo bena, ame dzodzoe nènye le dzidzime sia dome
GEN	7	2	Tu prendras auprès de toi sept couples de tous les animaux purs, le mâle et sa femelle; une paire des animaux qui ne sont pas purs, le mâle et sa femelle;	De là ma- tsrimatsriwo kata atsu kple asi adreadre, kple là tsitsriwo atsu kple asi eveveve
