id;fr;ewe;score;statut
1;L'est encore plus gros qu'Allah!;Susu ɖekae nye be Mawu kɔ boo wu amegbetɔwo.;1.0968;
2;C'est ma décision, pas la leur.;Wòe atso nya me, menye nyee o.;1.0957;
3;- Qui a gagné le concours d'avatar ?;Who won Ajagba vs Kiladze?;1.0780;
4;C'est le secret pour lui jurer fidélité.;Lakpa Wul?m? faa nmaa ni eba le ye gbejian? ni ato naa.;1.0735;
5;Je me suis cassé la jambe à l'âge de 6 ans;Melé nye ŋɔtitsyɔnu ɖe asi esi mexɔ ƒe ade;1.0601;
6;Parlez à ce que vous êtes vous soyez un piédestal.;Be wòe nye Mawukpakpa fia!;1.0782;
7;S'il s'agit d'une chute libre, le sac à dos n'aurait pas suffit à éviter le désastre.;Nenye etedugbe enyetefagbe la anye gbowoha madu tetsro o.;1.0628;
8;Il y a deux aspects dans cette phrase.;Numeɖeɖe evee li ku ɖe nuŋɔŋlɔa ƒe akpa sia ŋu.;1.0824;
9;une fois de plus le hoax des suicides en Inde.;Egakpotonye dodeo le India.;1.0691;
10;Je crois qu'il est juste... essoufflé ?;- Ee... eni kha nyi hodzi gani?;1.0755;
11;En espérant que les graines se développent.;Anɔ mɔ kpɔm be nukuawo natsi nyuie.;1.0774;
12;Mais maintenant il est trop tard.;Gake fifia la, etsi megbe akpa.;1.0764;
13;D'ailleurs, vous connaissez peut-être quelqu'un comme cela.;Ðewohĩ ènya ame aɖe alea.;1.0729;
14;Peu après, les Allemands ont occupé le pays.;Le ema megbe kpuie la, Germany srafowo va xɔ dukɔa.;1.1189;
15;"Je ne suis plus digne d'être appelé ton Fils...""";eye nyemegadze be manye viwò o.';1.0765;
16;C'est quoi cette génération!;Oo, dzidzime ka miehenye!;1.0693;
17;Elles permettent de vérifier la qualité de notre foi.;Eya ta anyo be míanɔ ŋku lém ɖe míaƒe xɔse ƒe nyonyome ŋu.;1.0816;
18;"Celui ci lui aurait alors dit: "" Je suis le diable.";Ne mewɔ nu gbegblẽ aɖe la, danye gblɔna nam be, 'Abosam gbɔna léwò ge!';1.0840;
19;Il s'est levé et il est rentré chez lui.;Eye wòtsi tre heyi ɖe eƒe me.;1.0689;
20;évite de dire la même chose.;Miganɔ nya ɖeka mawo ke gblɔm o.;1.0733;
21;Découvrez comment l'arche de Noé l'a sauvé, ainsi que sa famille et de nombreux animaux.;Xlẽ nu tso ale si aɖakaʋua na Noa, eƒe ƒomea kple lã gbogbo aɖewo tsi agbee ŋu.;1.0798;
22;Je suis tombée sur ma chaise.;Nya la dzem kpo mede anyi dze ge kloe le nye zikpuia dzi.;1.0820;
23;Qu'advient-il des conséquences du péché ?;Duzu a vile kpɔkɛ ɛtane ne mɔɔ bɛzile la anu rale a?;1.0819;
24;"Comme une cage [kelub] est remplie d'oiseaux, Leurs maisons sont remplies de fraude; C'est ainsi qu'ils deviennent puissants et riches.";Alesi xevi yɔa xadzae taŋ la, nenema alakpadada yɔa woƒe xɔwo fũ, eyata wòzu amegãwo kple kesinɔtɔwo ɖo.;1.0820;
25;Chaque fois que je le lis, j'en pleure.;Ne mexlẽ ɖesiaɖe la, mefaa avi.;1.1122;
26;""" Celui qui n'est pas contre nous est pour nous. """;Ame si metsi tre ɖe mía ŋu o la, le mía dzi;1.0675;
27;Aujourd'hui, il est probable que, quelle que soit votre nationalité ou la région où vous vivez, la Bible est disponible dans une langue que vous comprenez.;Egbea, afi ka kee nèɖale o, eye dukɔ ka me tɔe nèɖanye o, anɔ eme be Biblia le gbe aɖe si nèse la me.;1.1218;
28;"""J'étais étranger, sur une terre étrangère...""";Amedzro menye l' anyigba sia dzi,;1.0727;
29;Pas nécessairement beaucoup plus de ressources, mais simplement davantage de temps.;Menye miaƒe ɣeyiɣi suesue aɖewo kpɔkpɔ ɖe wo ŋue wohiã o, ke boŋ wohiã ɣeyiɣi geɖe.;1.0882;
30;Dans certains endroits du monde, la demande en eau potable excède déjà les réserves.;Le xexeame ƒe akpa aɖewo la, tsi nyui si womeƒo ɖii o ƒe agbɔsɔsɔme si amewo hiã la le dzi dem wu esi li woate ŋu akpɔ.;1.0709;
31;Telle était, selon un dictionnaire de la Bible , la condition des femmes dans les temps anciens.;Nenemae Biblia ŋuti nyagɔmeɖegbalẽ aɖe ƒo nu tso ale si ame akpa gãtɔ wɔa nu ɖe nyɔnuwo ŋu le blemaɣeyiɣiwo me ŋu.;1.0783;
32;"À partir de là, nous avons commencé à travailler et finalement nous avons réussi à réussir.""";"Míedi dɔ le afi sia afi, eye mlɔeba míeva kpɔ dɔ.""";1.0639;
33;"""si la racine de l'arbre est sainte, les branches le sont aussi.";Elabena ne ati aɖe ƒe kewo le kɔkɔe la, eƒe alɔwo;1.0720;
34;Et ne laisse pas entrer en tentation, mais délivre-nous du Mal.;"Eye megakplo mi yi de tetekpo me o; ke de mi tso vodito la si me !";1.0927;
35;Vous êtes résistant au port de charges lourdes ?;A ka na-agba mkpe n'ala Igbo?;1.0732;
36;""" C'est mon père qu'il faut remercier.";Fofonyee wòle be mada akpe na.;1.1086;
37;parce que j'ai fait couler de l'eau dans le désert,;Elabena mena tsi le gbegbe,;1.0600;
38;Est-ce que quelqu'un connait de bons produits ?;Anyone Know Any Good Eye Diets?;1.0796;
39;Toi qui procède du Père et du Fils;"Wòe tso Fofo kple Via me;";1.0706;
40;La loi de ta bouche est meilleure pour moi que des milliers de pieces d'or et d'argent.;Wò nu me sewo nyo nam wu sika kple klosalo akpe nanewo.;1.0892;
41;L'homme qui entendait les poissons;Fichajes de Mate Tsintsadze;1.0689;
42;Jésus a montré à diverses reprises combien il aimait les petits enfants.;Yesu ɖe alesi wòléa be na ɖevi suewo la fia le ɣebubuɣiwo hã.;1.0636;
43;Telles sont les familles issues de Gerson.;Esiawoe nye Gerson viwo ƒe ƒomewo.;1.0999;
44;"L'Éternel est la force de ma vie, de qui aurais-je peur ? """;"Egblɔ le xɔse me be: ""Yehowa enye mɔ na nye agbe, ame ka adzi ŋɔ nam?"" - Ps.";1.1178;
45;Ce que tu as dans la bouche.;"Wò ŋutɔ ènya nya siwo nye nuyiwo gblɔ la;";1.0986;
46;La médiocrité n'est pas une couronne à porter fièrement.;Acute dje kplo metso dada gbo o.;1.0620;
47;Ils pensent que j'ai tout ensemble.;Wosusuna be nu sia nu le asinye le agbe me.;1.0724;
48;Les serpents sur le sol, eux, sont bien réels.;Gake da, siwo le anyigba ya nye da gbagbewo.;1.0944;
49;Que nous enseignent ces versets et tant d'autres encore ?;Nukae numekuku siawo kple bubu geɖe fia mí?;1.0979;
50;Conclusion: l'affirmation de Matar Faye peut induire en erreur;Discover: Kanye defeats Coinye;1.0601;
51;Qu'est-ce qui a fait que c'est parti si vite ?;Nukatae du nyui sia nu yi kaba nenema gbegbe?;1.0603;
52;Je suis née, à Sofia en Bulgarie.;Wodzim le Bulgaria du si nye Sofia me.;1.0816;
