ID;Sous-thematique;Phrase FR;Trad ewe L1;Trad ewe L2;Arbitrage;Statut
ETC-NAI-001;Declaration de naissance;La naissance doit être déclarée au centre.;;;;A traduire
ETC-NAI-002;Declaration de naissance;La déclaration se fait dans les trois mois.;;;;A traduire
ETC-NAI-003;Declaration de naissance;Déclarez la naissance à la mairie.;;;;A traduire
ETC-NAI-004;Declaration de naissance;Apportez le carnet de maternité.;;;;A traduire
ETC-NAI-005;Declaration de naissance;Le certificat de naissance est nécessaire.;;;;A traduire
ETC-NAI-006;Declaration de naissance;La déclaration gratuite est un droit.;;;;A traduire
ETC-NAI-007;Declaration de naissance;Choisissez le prénom de l'enfant.;;;;A traduire
ETC-NAI-008;Declaration de naissance;Le nom du père est inscrit.;;;;A traduire
ETC-NAI-009;Declaration de naissance;Le nom de la mère est inscrit.;;;;A traduire
ETC-NAI-010;Declaration de naissance;L'officier d'état civil enregistre la naissance.;;;;A traduire
ETC-NAI-011;Declaration de naissance;Vérifiez l'orthographe des noms.;;;;A traduire
ETC-NAI-012;Declaration de naissance;La déclaration tardive nécessite un jugement.;;;;A traduire
ETC-NAI-013;Declaration de naissance;Ne retardez pas la déclaration.;;;;A traduire
ETC-NAI-014;Declaration de naissance;Chaque enfant a droit à une identité.;;;;A traduire
ETC-NAI-015;Declaration de naissance;Le certificat de naissance est gratuit.;;;;A traduire
ETC-NAI-016;Declaration de naissance;Deux témoins peuvent être requis.;;;;A traduire
ETC-NAI-017;Declaration de naissance;La naissance des jumeaux se déclare deux fois.;;;;A traduire
ETC-NAI-018;Declaration de naissance;Un enfant né à l'hôpital est déclaré facilement.;;;;A traduire
ETC-NAI-019;Declaration de naissance;Gardez une copie de la déclaration.;;;;A traduire
ETC-NAI-020;Declaration de naissance;La déclaration protège les droits de l'enfant.;;;;A traduire
ETC-ACT-001;Acte de naissance;L'acte de naissance est un document officiel.;;;;A traduire
ETC-ACT-002;Acte de naissance;Il faut un extrait d'acte de naissance pour s'inscrire à l'école.;;;;A traduire
ETC-ACT-003;Acte de naissance;L'acte de naissance est demandé pour la CNI.;;;;A traduire
ETC-ACT-004;Acte de naissance;Demandez l'extrait à la mairie de naissance.;;;;A traduire
ETC-ACT-005;Acte de naissance;L'extrait coûte quelques centaines de francs.;;;;A traduire
ETC-ACT-006;Acte de naissance;L'acte mentionne le lieu de naissance.;;;;A traduire
ETC-ACT-007;Acte de naissance;L'acte mentionne la date de naissance.;;;;A traduire
ETC-ACT-008;Acte de naissance;Vérifiez les informations de l'acte.;;;;A traduire
ETC-ACT-009;Acte de naissance;En cas d'erreur demandez la correction.;;;;A traduire
ETC-ACT-010;Acte de naissance;La copie intégrale existe aussi.;;;;A traduire
ETC-ACT-011;Acte de naissance;Les actes sont conservés à la mairie.;;;;A traduire
ETC-ACT-012;Acte de naissance;Demandez plusieurs extraits si besoin.;;;;A traduire
ETC-ACT-013;Acte de naissance;L'extrait est valable pour les démarches.;;;;A traduire
ETC-ACT-014;Acte de naissance;Les registres sont protégés.;;;;A traduire
ETC-ACT-015;Acte de naissance;Un acte en règle évite les problèmes.;;;;A traduire
ETC-MAR-001;Mariage;Le mariage civil se fait à la mairie.;;;;A traduire
ETC-MAR-002;Mariage;La célébration nécessite des témoins.;;;;A traduire
ETC-MAR-003;Mariage;Le livret de famille est remis au mariage.;;;;A traduire
ETC-MAR-004;Mariage;Les futurs époux présentent leurs pièces.;;;;A traduire
ETC-MAR-005;Mariage;Le consentement des deux est nécessaire.;;;;A traduire
ETC-MAR-006;Mariage;La publication des bans se fait avant.;;;;A traduire
ETC-MAR-007;Mariage;Le mariage peut être suivi d'une cérémonie religieuse.;;;;A traduire
ETC-MAR-008;Mariage;L'acte de mariage est un document officiel.;;;;A traduire
ETC-MAR-009;Mariage;Le régime matrimonial est choisi.;;;;A traduire
ETC-MAR-010;Mariage;Les mariés signent le registre.;;;;A traduire
ETC-MAR-011;Mariage;Le mariage protège la famille.;;;;A traduire
ETC-MAR-012;Mariage;En cas de divorce un jugement est rendu.;;;;A traduire
ETC-MAR-013;Mariage;Le divorce se prononce au tribunal.;;;;A traduire
ETC-MAR-014;Mariage;Les enfants restent protégés après le divorce.;;;;A traduire
ETC-MAR-015;Mariage;La famille est la base de la société.;;;;A traduire
ETC-DEC-001;Deces;Un décès doit être déclaré à la mairie.;;;;A traduire
ETC-DEC-002;Deces;Le certificat de décès est délivré par le centre de santé.;;;;A traduire
ETC-DEC-003;Deces;La déclaration se fait dans les quinze jours.;;;;A traduire
ETC-DEC-004;Deces;L'acte de décès est nécessaire pour l'enterrement.;;;;A traduire
ETC-DEC-005;Deces;Les proches font la déclaration.;;;;A traduire
ETC-DEC-006;Deces;Le permis d'inhumer est demandé.;;;;A traduire
ETC-DEC-007;Deces;Conservez l'acte de décès.;;;;A traduire
ETC-DEC-008;Deces;Les funérailles suivent les traditions.;;;;A traduire
ETC-DEC-009;Deces;Le décès à l'hôpital est déclaré facilement.;;;;A traduire
ETC-DEC-010;Deces;Nos condoléances à la famille.;;;;A traduire
ETC-DOC-001;Documents et demarches;Préparez les pièces demandées.;;;;A traduire
ETC-DOC-002;Documents et demarches;Les photocopies doivent être lisibles.;;;;A traduire
ETC-DOC-003;Documents et demarches;Payez les frais au guichet.;;;;A traduire
ETC-DOC-004;Documents et demarches;Gardez vos reçus.;;;;A traduire
ETC-DOC-005;Documents et demarches;Les délais sont affichés au centre.;;;;A traduire
ETC-DOC-006;Documents et demarches;Revenez chercher le document à la date indiquée.;;;;A traduire
ETC-DOC-007;Documents et demarches;La légalisation se fait au tribunal.;;;;A traduire
ETC-DOC-008;Documents et demarches;La certification conforme est possible.;;;;A traduire
ETC-DOC-009;Documents et demarches;Les documents en français sont exigés.;;;;A traduire
ETC-DOC-010;Documents et demarches;Les traductions officielles existent.;;;;A traduire
ETC-DOC-011;Documents et demarches;Si vous perdez vos documents signalez-le vite.;;;;A traduire
ETC-DOC-012;Documents et demarches;La déclaration de perte se fait au commissariat.;;;;A traduire
ETC-DOC-013;Documents et demarches;Les duplicata sont possibles.;;;;A traduire
ETC-DOC-014;Documents et demarches;Vérifiez l'état civil avant toute démarche.;;;;A traduire
ETC-DOC-015;Documents et demarches;Les agents vous accueillent et vous conseillent.;;;;A traduire
ETC-DOC-016;Documents et demarches;Les heures d'ouverture sont affichées.;;;;A traduire
ETC-DOC-017;Documents et demarches;Les démarches se font aussi dans les arrondissements.;;;;A traduire
ETC-DOC-018;Documents et demarches;Les services d'état civil se modernisent.;;;;A traduire
ETC-DOC-019;Documents et demarches;Certaines démarches sont possibles en ligne.;;;;A traduire
ETC-DOC-020;Documents et demarches;Un dossier complet va plus vite.;;;;A traduire
ETC-JUG-001;Jugements suppletifs;Le jugement supplétif remplace l'acte de naissance perdu.;;;;A traduire
ETC-JUG-002;Jugements suppletifs;Le tribunal peut ordonner un jugement supplétif.;;;;A traduire
ETC-JUG-003;Jugements suppletifs;L'avocat aide à constituer le dossier.;;;;A traduire
