livre	chapitre	verset	fr	ewe
1CH	7	5	Leurs frères, d’après toutes les familles d’Issacar, hommes vaillants, formaient un total de quatre-vingt-sept mille, enregistrés dans les généalogies.	Wo novi, siwo tso Isahar fe fo- meawo Kaia me la, nye nutsu kalé- towo; ame akpe blanyi vo adre le wofe dzidzimegbalé la me
1CH	21	23	Ornan répondit à David: Prends-le, et que mon seigneur le roi fasse ce qui lui semblera bon; vois, je donne les bœufs pour l’holocauste, les chars pour le bois, et le froment pour l’offrande, je donne tout cela.	Tete Ornan do gbo gblo ne bena: Ale Yehowa nu na Dawid bena: Hoe, eye nye gblo esi: Kpo wo dome, natso: afeto fia newo alesi dze enu; kpo 12 dowuame ge eto 1o, alo nasi le da, mana nyiwo woasa numeyoe, wo ketowo nu dzinu etó, eye wo lufotasiadamwo nanye nake kple futowo fe yi nade wo de nu lo, lu woasa nuduvoe; mana wo ka- alo Yehowa £e yi kple dovo nano ta
1CH	15	28	Tout Israël fit monter l’arche de l’alliance de l’Éternel avec des cris de joie, au son des clairons, des trompettes et des cymbales, et en faisant retentir les luths et les harpes.	Israel blibo la le aseye tsom, le kpé kple dze kum, le gakogoe fom, eye wole sanku kple kasaüku fom sesie hetso Yehowa fe nubabladaka 1a yii
1CH	10	8	Le lendemain, les Philistins vinrent pour dépouiller les morts, et ils trouvèrent Saül et ses fils tombés sur la montagne de Guilboa.	Esi nu ke, eye Filistitowo va nu de ge le ame tsiawawo nu la, wokpo Saul kple viawo woku de Gilboa-to la dzi, 9 eye wode nu le enu hetso efe ta kple efe awa- wonuwo do de Filistitowo fe anyi- gba dzi godo, ne woade gbe fà dzidzo sia na wofe mawuwo kple duko la
1CH	11	7	David s’établit dans la forteresse; c’est pourquoi on l’appela cité de David.	Dawid no 11, 8 12, 1 mb la me, eyata woyone be Da- wid du
1CH	3	21	Fils de Hanania: Pelathia et Ésaïe; les fils de Rephaja, les fils d’Arnan, les fils d’Abdias, les fils de Schecania.	Hananya viwo nye: Pelatya kple Yesaya, Refaya viwo, Arnan viwo, Obadya viwo, Sehanya vi- wo
1CH	12	39	Ils furent là trois jours avec David, mangeant et buvant, car leurs frères leur avaient préparé des vivres.	Wono Dawid gbo le afima nkeke eto son, eye wodu nu no nu, elabena wo noviwo da nu na wo
1CH	9	41	Fils de Michée: Pithon, Mélec, et Thachréa.	Miba viwo nye: Piton, Melen kple Mahrea
1CH	27	13	Le dixième, pour le dixième mois, était Maharaï, de Nethopha, de la famille des Zérachites; et il avait une division de vingt-quatre mille hommes.	Eyata, mía Mawu, míele akpe dam na wò, eye míele wo nulikokoe fe nko la kafum; 14 elabena ameka me- 1, 1-6 nye, eye ameka nye duko la nye be, míekpo nus& hena nu fà alea? Elabena nuwo kata tso gbowd, eye asiwó me míeho wo le hetso na wo
1CH	7	23	Puis il alla vers sa femme, et elle conçut et enfanta un fils; il l’appela du nom de Beria, parce que le malheur était dans sa maison.	Eye wódo srõ gbọ wófo fu hedzi Butsuvi, eye wona nkoe be Beria, elabena dzogbevóe va efe afe dzi
