source;langues;type;volume_estime;statut_licence;usage_autorise;statut_verification;actions;responsable;date
Bible ewe 1913 (archive.org - British and Foreign Bible Society);ewe;texte monolingue (scan OCR, full text dispo);complet (item 1.0 Go);PUBLIC DOMAIN - badge Public Domain Mark 1.0 verifie (page + API);Publier - alignement verset par verset avec une bible francaise domaine public (ex. Louis Segond) pour creer du parallele;Verifie (13/08);Evaluer la qualite OCR en P1 (detection de langue erronee 'sw' - probablement bruit);Cherif + Sukuna;2026-08-13
Vocabulaire de la langue ewe (Riebstein, 1926 - archive.org);ewe;lexique bilingue (scan OCR);vol. 2 francais-ewe dispo (410 p.), vol. 1 ewe-francais manquant;domaine public probable (1926 - avant 1930 USA, telechargement libre);Publier (paires mot/phrase) + reference orthographique;Verifie (13/08) - badge non visible dans l'extraction, confirmer visuellement sur la page;Confirmer le badge en ouvrant la page;Cherif;2026-08-13
Dictionnaire Ewe-allemand (Westermann, 1905);ewe;lexique;reference historique;domaine public (1905);Publier si une numerisation est trouvee;A localiser;Chercher la numerisation (archive.org / bibliotheques numeriques);Cherif;2026-08-13
Lexilogos (portail ewe);ewe;portail / bibliographie;n/a;n/a;Reference uniquement - pas une source de donnees;Verifie (13/08);Utiliser pour la bibliographie (Westermann 1905, Henrici 1891...), le clavier ewe (caracteres speciaux) et la DUDH en ewe;Sukuna;2026-08-13
JW300 (via OPUS);ewe;texte parallele;a confirmer (page ewe introuvable sur OPUS a la navigation - verification API en P1);CGU JW verifiees le 13/08 : redistribution interdite (usage personnel et non commercial uniquement);Entrainement uniquement (jamais dans le dataset public);Verifie (CGU) - volume a confirmer via API;Ne pas scraper jw.org (interdit par les CGU) - passer par le corpus JW300 d'OPUS si disponible;Cherif + Sukuna;2026-08-13
OPUS - autres corpus;ewe;texte parallele;aucun corpus ewe trouve a la navigation (13/08);a reverifier;Publier si des corpus libres existent;En cours;Verifier via l'API OPUS (opustools) pendant la collecte P1;Cherif;2026-08-13
Bibles ewe modernes (EB14, AL, EWERV);ewe;texte parallele;moyen;Toutes sous copyright (Bible Society of Togo, Biblica Inc., Bible Society of Ghana 1913/2006);Ne pas publier - entrainement uniquement si besoin critique;Verifie (13/08);Ecartees au profit de la bible 1913 (domaine public);Cherif;2026-08-13
Wikipedia ewe;ewe;texte monolingue;quasi vide (pas d'articles, page alphabet uniquement);CC BY-SA;Indisponible pour le corpus - page alphabet conservee comme reference orthographique;Verifie (13/08);Chercher d'autres sources monolingues (Facebook public, journaux, blogs) pour le back-translation;Cherif;2026-08-13
Wikipedia kabije;kbp;texte monolingue;a verifier (probablement quasi vide aussi);CC BY-SA;Indisponible sauf preuve du contraire;A verifier;Verifier en phase P3;Cherif;2026-08-13
Collecte ciblee sante/education/admin;ewe;texte parallele cree par le projet;1000-2000 phrases (SOURCE PRINCIPALE pour le parallele moderne);Propriete du projet - publication sous CC-BY-4.0;Publier (avec consentement et attribution des traducteurs);Planifie - priorite maximale;Rediger les grilles de phrases (10 thematiques) et les formulaires de consentement;Cherif + Sukuna;2026-08-13
Enregistrements audio (ASR);ewe;audio + transcription;5-10h visees;Consentement ecrit explicite + anonymisation;Publier uniquement avec consentement documente;Planifie;Preparer le formulaire de consentement (phase P4);Cherif + Sukuna;2026-08-13
Common Voice;ewe;audio;ABSENT (langue non disponible);n/a;n/a;Verifie;Ne pas prevoir;Sukuna;2026-08-13
FLEURS / autres jeux audio multilingues;ewe;audio;ABSENT (ewe non couvert);n/a;n/a;Verifie;Ne pas prevoir;Sukuna;2026-08-13
Louis Segond 1910 (BibleCorps/FRA-B-LSG1910-PD-UBS, GitHub);fr;texte parallele (cote francais);complet - 66 livres p.sfm, 31170 versets parses;PUBLIC DOMAIN - texte Segond 1910 PD (auteur decede > 70 ans), repo marque PD-UBS;Publier - alignement verset par verset avec la bible ewe 1913;Verifie (13/08);Parsing p.sfm -> TSV fait (src/clean/parse_sfm.py);Sukuna;2026-08-13
OPUS - Tatoeba fr-ee;fr+ewe;texte parallele;present (v2026-07-08 et 9 versions anterieures listees) - volume a confirmer;Tatoeba: CC BY 2.0 FR;Publier si volume suffisant et provenance verifiee;En cours (API OPUS peu fiable, infra en migration);Confirmer volume via opustools-pkg en P1;Sukuna;2026-08-13
OPUS - bible-uedin fr-ee;fr+ewe;texte parallele;present dans le listing v1 - volume a confirmer;bible-uedin: licence libre bible;Publier si disponible;En cours;Confirmer volume via opustools-pkg en P1;Sukuna;2026-08-13
OPUS - JW300 fr-ee;fr+ewe;texte parallele;ABSENT via opusapi (source=fr&target=ee) le 13/08;CGU JW: redistribution interdite (usage non commercial uniquement);Entrainement uniquement si present;En cours;Confirmer via opustools-pkg - si present: jamais publier;Sukuna;2026-08-13
