ID;Sous-thematique;Phrase FR;Trad ewe L1;Trad ewe L2;Arbitrage;Statut
PHA-ACC-001;A la pharmacie;Bonjour je viens chercher mes médicaments.;;;;A traduire
PHA-ACC-002;A la pharmacie;Voici mon ordonnance.;;;;A traduire
PHA-ACC-003;A la pharmacie;Ce médicament est-il disponible ?;;;;A traduire
PHA-ACC-004;A la pharmacie;Je n'ai pas de prescription pouvez-vous m'aider ?;;;;A traduire
PHA-ACC-005;A la pharmacie;La pharmacie est ouverte de huit heures à dix-neuf heures.;;;;A traduire
PHA-ACC-006;A la pharmacie;Le pharmacien va vous conseiller.;;;;A traduire
PHA-ACC-007;A la pharmacie;Avez-vous une carte d'assurance ?;;;;A traduire
PHA-ACC-008;A la pharmacie;Le prix de ce médicament est raisonnable.;;;;A traduire
PHA-ACC-009;A la pharmacie;Revenez demain si le médicament n'est pas en stock.;;;;A traduire
PHA-ACC-010;A la pharmacie;Cette pharmacie est bien approvisionnée.;;;;A traduire
PHA-ACC-011;A la pharmacie;Attendez votre tour s'il vous plaît.;;;;A traduire
PHA-ACC-012;A la pharmacie;Je vous prépare votre commande.;;;;A traduire
PHA-ACC-013;A la pharmacie;Gardez votre reçu.;;;;A traduire
PHA-ACC-014;A la pharmacie;Y a-t-il une pharmacie de garde ce soir ?;;;;A traduire
PHA-ACC-015;A la pharmacie;La pharmacie de garde est à Lomé ce week-end.;;;;A traduire
PHA-MED-001;Medicaments et posologie;Prenez ce médicament trois fois par jour.;;;;A traduire
PHA-MED-002;Medicaments et posologie;Ce sirop se prend avec une cuillère doseuse.;;;;A traduire
PHA-MED-003;Medicaments et posologie;Avalez le comprimé avec de l'eau.;;;;A traduire
PHA-MED-004;Medicaments et posologie;Ne mâchez pas ce comprimé.;;;;A traduire
PHA-MED-005;Medicaments et posologie;Prenez le médicament avant les repas.;;;;A traduire
PHA-MED-006;Medicaments et posologie;Ce médicament se prend après le repas.;;;;A traduire
PHA-MED-007;Medicaments et posologie;Respectez bien la dose prescrite.;;;;A traduire
PHA-MED-008;Medicaments et posologie;Ne doublez pas la dose si vous avez oublié.;;;;A traduire
PHA-MED-009;Medicaments et posologie;Espacez les prises de huit heures.;;;;A traduire
PHA-MED-010;Medicaments et posologie;Le traitement dure sept jours.;;;;A traduire
PHA-MED-011;Medicaments et posologie;Ne prolongez pas le traitement sans avis.;;;;A traduire
PHA-MED-012;Medicaments et posologie;Ce médicament est réservé aux adultes.;;;;A traduire
PHA-MED-013;Medicaments et posologie;La dose pour l'enfant dépend de son poids.;;;;A traduire
PHA-MED-014;Medicaments et posologie;Mélangez la poudre dans un verre d'eau.;;;;A traduire
